#               x               U_x               U_y               U_z
                0                 0                 0                 0
   3.15586506e-17  -1.005214397e-19   1.749567012e-17                 0
    0.04889685268   -0.005809388459     0.07516210776  -2.880269536e-23
    0.09816995099    -0.01974268377       0.127203339   4.045062839e-23
     0.1477612058    -0.03815644974      0.1591902116   1.401243876e-22
      0.197618952     -0.0588648155      0.1751986526   1.705174217e-22
     0.2476966954    -0.08041281427      0.1787147972  -2.875992392e-23
     0.2979520666     -0.1021528112      0.1721065472  -3.446336971e-23
     0.3483459301     -0.1237603185      0.1566048857  -7.827712667e-23
     0.3988416126     -0.1450111344      0.1325630173  -1.618984051e-22
     0.4494042174     -0.1655720571      0.0998484271  -8.903176828e-23
              0.5       -0.18482045     0.05828485037  -5.363242497e-25
     0.5505957826     -0.2016605783    0.008131266318   6.553571958e-23
     0.6011583874     -0.2143650104    -0.04936159532  -6.422941029e-23
     0.6516540699     -0.2204509744     -0.1112516943  -1.267969488e-22
     0.7020479334     -0.2166990274     -0.1720630018   9.202287186e-23
     0.7523033046     -0.1996358569      -0.222969726   1.251919943e-22
      0.802381048     -0.1668245676     -0.2516506412   5.476625461e-23
     0.8522387942     -0.1192044197     -0.2443400592  -1.995527117e-23
      0.901830049    -0.06489132084     -0.1921507666   1.926382247e-23
     0.9511031473    -0.02001731201     -0.1020364693  -3.114822569e-23
                1     0.01344981664   -0.003283982024   -3.02872756e-22
                1                 0                 0                 0
