#               y               U_x               U_y               U_z
             -0.1                 0                 0                 0
           -0.045    -0.02179082676  -0.0003665663492  -2.097084917e-24
             0.01    -0.04210121211   -0.001187120594   3.500304907e-24
            0.065    -0.06225493491    -0.00212927991   3.884800202e-24
             0.12    -0.08333289902   -0.002670379364  -1.561650637e-24
            0.175      -0.105814349    -0.00214042293  -7.578403597e-24
             0.23      -0.129412359   0.0002896403909   1.203434837e-25
            0.285     -0.1528594024    0.005540670877   4.904387365e-24
             0.34     -0.1737650235     0.01444879966  -1.388430747e-24
            0.395     -0.1886962445     0.02750046811  -7.608166451e-23
             0.45     -0.1936533597     0.04450787524  -5.757023594e-23
            0.505     -0.1849695784     0.06434299329   1.419071446e-22
             0.56     -0.1603977818     0.08484409801   4.084246515e-23
            0.615     -0.1198967852      0.1030170629  -1.377991005e-22
             0.67    -0.06532598045       0.115511932   -6.66611021e-24
            0.725    0.001609026684      0.1191025919  -4.424575176e-24
             0.78     0.08376391834      0.1110340539    2.37444981e-23
            0.835      0.1954186822      0.0894860036    5.33378328e-23
             0.89      0.3677756956     0.05600003656  -3.256319363e-25
            0.945      0.6380598127      0.0200478374   3.178821906e-23
                1                 1                 0                 0
