# Selection   : all
# Cells       : 100
# Volume      : 1.000000e+00
# Time        	max(U)
0             	(0.000000e+00 0.000000e+00 0.000000e+00)
1             	(3.970572e-01 1.531902e-01 0.000000e+00)
2             	(5.439955e-01 2.037569e-01 0.000000e+00)
3             	(5.808208e-01 2.128658e-01 0.000000e+00)
4             	(5.941507e-01 2.147400e-01 0.000000e+00)
5             	(6.053618e-01 2.143678e-01 0.000000e+00)
6             	(6.136480e-01 2.131002e-01 0.000000e+00)
7             	(6.189590e-01 2.118424e-01 0.000000e+00)
8             	(6.223447e-01 2.109581e-01 0.000000e+00)
9             	(6.245788e-01 2.104303e-01 0.000000e+00)
10            	(6.260917e-01 2.101442e-01 0.000000e+00)
