# Selection       : all
# Cells           : 400
# Volume          : 1.0000000000e+00
# Time            	maxMag(p)
0                 	0.0000000000e+00
1                 	3.9817019549e-01
2                 	5.6717470367e-01
3                 	6.2936808004e-01
4                 	6.6525372079e-01
5                 	6.8959488796e-01
6                 	7.0465148334e-01
7                 	7.1351366720e-01
8                 	7.1905642702e-01
9                 	7.2282632483e-01
10                	7.2552943949e-01
11                	7.2755106761e-01
12                	7.2910787069e-01
13                	7.3033695756e-01
14                	7.3132021368e-01
15                	7.3211547194e-01
16                	7.3276293728e-01
17                	7.3329236389e-01
18                	7.3372592940e-01
19                	7.3408200256e-01
20                	7.3437535337e-01
21                	7.3461763162e-01
22                	7.3481884233e-01
23                	7.3498610552e-01
24                	7.3512571796e-01
25                	7.3524275811e-01
26                	7.3534126346e-01
27                	7.3542439351e-01
28                	7.3549480198e-01
29                	7.3555457258e-01
30                	7.3560551482e-01
31                	7.3564896846e-01
32                	7.3568615604e-01
33                	7.3571799996e-01
34                	7.3574530103e-01
35                	7.3576870866e-01
36                	7.3578881899e-01
37                	7.3580610564e-01
38                	7.3582099874e-01
39                	7.3583377742e-01
40                	7.3584478684e-01
41                	7.3585426307e-01
42                	7.3586242077e-01
43                	7.3586944508e-01
44                	7.3587554104e-01
45                	7.3588069511e-01
46                	7.3589095893e-01
47                	7.3588867919e-01
48                	7.3589647471e-01
49                	7.3589525185e-01
50                	7.3590090410e-01
