# Selection       : all
# Cells           : 400
# Volume          : 1.0670236902e+00
# Time            	min(U)
0                 	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
0.01              	(-9.9335047546e-03 -2.2092695417e-02 -1.2858069833e-20)
0.02              	(-2.0022993623e-02 -4.6351220928e-02 -9.7121386253e-21)
0.03              	(-2.9049404768e-02 -6.9955379249e-02 -8.9968456110e-21)
0.04              	(-3.6506433520e-02 -9.1423738282e-02 -8.3410627233e-21)
0.05              	(-4.2415145122e-02 -1.1052878411e-01 -7.8252567184e-21)
0.06              	(-4.6989921981e-02 -1.2754044605e-01 -7.3906740210e-21)
0.07              	(-5.0471709120e-02 -1.4281060996e-01 -7.0057037840e-21)
0.08              	(-5.3072096236e-02 -1.5663418274e-01 -6.6575410043e-21)
0.09              	(-5.6625048425e-02 -1.6923197366e-01 -6.3406532519e-21)
0.1               	(-6.1174363454e-02 -1.8076825302e-01 -6.0485897695e-21)
0.11              	(-6.5407056885e-02 -1.9137072986e-01 -5.7848594852e-21)
0.12              	(-6.9332624354e-02 -2.0114394457e-01 -5.5430534848e-21)
0.13              	(-7.2958591638e-02 -2.1017765582e-01 -5.3223010009e-21)
0.14              	(-7.6293805362e-02 -2.1854804280e-01 -5.1157581734e-21)
0.15              	(-7.9346656818e-02 -2.2632172423e-01 -4.9240032121e-21)
0.16              	(-8.2125752157e-02 -2.3355682259e-01 -4.7452466526e-21)
0.17              	(-8.4640726775e-02 -2.4030617434e-01 -4.6174922612e-21)
0.18              	(-8.6900488716e-02 -2.4661462728e-01 -4.5299245269e-21)
0.19              	(-8.8935753995e-02 -2.5252615494e-01 -4.4550424711e-21)
0.2               	(-9.0711239461e-02 -2.5806496319e-01 -4.3677001319e-21)
0.21              	(-9.2246377936e-02 -2.6326613469e-01 -4.2948449196e-21)
0.22              	(-9.3556740205e-02 -2.6815930903e-01 -4.2266586961e-21)
0.23              	(-9.4921795796e-02 -2.7276896986e-01 -4.1614615155e-21)
0.24              	(-9.7765796031e-02 -2.7711521912e-01 -4.0976725256e-21)
0.25              	(-1.0050029770e-01 -2.8121057218e-01 -4.0246789369e-21)
0.26              	(-1.0314732348e-01 -2.8510357129e-01 -3.9958382543e-21)
0.27              	(-1.0571230017e-01 -2.8881194731e-01 -3.9711324909e-21)
0.28              	(-1.0818324984e-01 -2.9232943674e-01 -3.9316878995e-21)
0.29              	(-1.1055114269e-01 -2.9565786745e-01 -3.8871206342e-21)
0.3               	(-1.1281439482e-01 -2.9881053575e-01 -3.8450107748e-21)
0.31              	(-1.1497450055e-01 -3.0180291141e-01 -3.8059827454e-21)
0.32              	(-1.1703338096e-01 -3.0464830489e-01 -3.7696346784e-21)
0.33              	(-1.1899281834e-01 -3.0735751700e-01 -3.7353266729e-21)
0.34              	(-1.2085434040e-01 -3.0993975074e-01 -3.7029796096e-21)
0.35              	(-1.2261942479e-01 -3.1240327053e-01 -3.6723146797e-21)
0.36              	(-1.2428959589e-01 -3.1475578563e-01 -3.6431167123e-21)
0.37              	(-1.2586647003e-01 -3.1700472230e-01 -3.6151529172e-21)
0.38              	(-1.2734794884e-01 -3.1914186106e-01 -3.5911482949e-21)
0.39              	(-1.2873736769e-01 -3.2117945567e-01 -3.5688620627e-21)
0.4               	(-1.3003790851e-01 -3.2312747981e-01 -3.5477424246e-21)
0.41              	(-1.3125160264e-01 -3.2499128852e-01 -3.5276385609e-21)
0.42              	(-1.3238004940e-01 -3.2677467584e-01 -3.5085185665e-21)
0.43              	(-1.3342487787e-01 -3.2848125800e-01 -3.4902467242e-21)
0.44              	(-1.3438777425e-01 -3.3011490785e-01 -3.4732964498e-21)
0.45              	(-1.3527058938e-01 -3.3167926882e-01 -3.4569485867e-21)
0.46              	(-1.3607522127e-01 -3.3317781211e-01 -3.4413898833e-21)
