# Selection       : all
# Cells           : 400
# Volume          : 1.0670236902e+00
# Time            	minMag(p)
0                 	0.0000000000e+00
0.01              	3.9662092434e-10
0.02              	5.0252399065e-09
0.03              	8.3178038956e-09
0.04              	7.5517823438e-09
0.05              	1.2911506529e-09
0.06              	7.3000953825e-09
0.07              	7.0712639141e-10
0.08              	1.7928172542e-09
0.09              	3.0121323353e-09
0.1               	3.7699813799e-09
0.11              	4.7501577576e-09
0.12              	8.0648341503e-09
0.13              	1.2484245235e-08
0.14              	1.1914175507e-08
0.15              	1.2016988009e-08
0.16              	1.1731397616e-08
0.17              	1.2896814499e-08
0.18              	1.2271903025e-08
0.19              	1.3243328484e-08
0.2               	8.2865241293e-09
0.21              	1.0586199495e-08
0.22              	1.0703447588e-08
0.23              	1.0106052271e-08
0.24              	6.5434905169e-09
0.25              	1.0281987311e-08
0.26              	4.0977033681e-09
0.27              	2.0701093258e-09
0.28              	4.2862491436e-09
0.29              	6.0246649742e-09
0.3               	5.6912014124e-09
0.31              	4.8551021022e-09
0.32              	4.0783402547e-09
0.33              	3.6939340098e-09
0.34              	3.3165668468e-09
0.35              	3.0892152506e-09
0.36              	3.0042708225e-09
0.37              	2.9671957338e-09
0.38              	6.4591067712e-09
0.39              	4.6708602632e-09
0.4               	4.3250738476e-09
0.41              	4.5619394512e-09
0.42              	4.9578598744e-09
0.43              	5.3458075907e-09
0.44              	8.2049129047e-09
0.45              	8.7488217528e-09
0.46              	8.8309037493e-09
0.47              	8.5793833328e-09
0.48              	8.2725909895e-09
0.49              	7.9504127093e-09
0.5               	6.3035954471e-09
0.51              	7.4182806759e-09
0.52              	7.3906358463e-09
0.53              	6.4869283142e-09
0.54              	5.9441538834e-09
0.55              	5.9000834425e-09
0.56              	5.4051328099e-09
0.57              	5.3671238001e-09
0.58              	5.3519089480e-09
0.59              	4.9321883838e-09
0.6               	4.1811966052e-10
0.61              	6.6131277593e-09
0.62              	4.4610816755e-09
0.63              	2.0083486131e-09
0.64              	2.2450025196e-09
0.65              	5.2232311936e-09
0.66              	5.5038592632e-09
0.67              	3.1417742361e-09
0.68              	1.8936005516e-09
0.69              	1.2883563708e-09
0.7               	9.2194064778e-10
0.71              	5.0692326886e-10
0.72              	1.0838963850e-09
0.73              	3.4555249605e-10
0.74              	1.8854620021e-08
