#           y           U_x           U_y           U_z
            0             0             0             0
          0.1    -0.0601589    0.00494157             0
          0.2     -0.103451     0.0128281             0
          0.3     -0.137111     0.0242707             0
          0.4     -0.160136     0.0407932             0
          0.5     -0.163131      0.062214             0
          0.6     -0.132436     0.0847827             0
          0.7    -0.0550801     0.0996205             0
          0.8     0.0942534     0.0937242             0
          0.9      0.401991     0.0541596             0
            1             1             0             0
