#               x               U_x               U_y               U_z
                0                 0                 0                 0
             0.05   -0.007055607432     0.07301663462                 0
              0.1    -0.02189586613      0.1213075469                 0
             0.15    -0.04184257662      0.1499955449                 0
              0.2    -0.06427200776      0.1639822023                 0
             0.25     -0.0874144237      0.1669457897                 0
              0.3      -0.110415045      0.1610891856                 0
             0.35       -0.13283073      0.1473467428                 0
              0.4     -0.1543548802      0.1258000175                 0
             0.45     -0.1746157433     0.09612700406                 0
              0.5     -0.1929932845      0.0580222171                 0
             0.55     -0.2084427981     0.01161541248                 0
              0.6     -0.2193411156    -0.04203924806                 0
             0.65     -0.2233867598     -0.1003283853                 0
              0.7       -0.21765995     -0.1582918662                 0
             0.75     -0.1990728794     -0.2078405736                 0
              0.8     -0.1655282429     -0.2375311426                 0
             0.85     -0.1182245743     -0.2342047195                 0
              0.9    -0.06512590559      -0.188500217                 0
             0.95    -0.02104815765     -0.1041517212                 0
                1                 0                 0                 0
