#               y               U_x               U_y               U_z
                0                 0                 0                 0
             0.05    -0.03516584728    0.000503063763                 0
              0.1    -0.06474168819    0.001331981155                 0
             0.15    -0.09103306296    0.002504349144                 0
              0.2     -0.1155479305    0.004360430118                 0
             0.25     -0.1388585976    0.007481875515                 0
              0.3     -0.1606094457     0.01259548035                 0
             0.35     -0.1794759526     0.02040475162                 0
              0.4     -0.1932378212     0.03138412272                 0
             0.45     -0.1990766733     0.04555449405                 0
              0.5     -0.1941321089     0.06228716527                 0
             0.55     -0.1762261265     0.08019914676                 0
              0.6     -0.1445137242     0.09720847715                 0
             0.65    -0.09965014818      0.1107665537                 0
              0.7    -0.04304777349      0.1181909939                 0
             0.75     0.02520280356      0.1169840378                 0
              0.8      0.1101511377      0.1051230959                 0
             0.85      0.2269997927     0.08177534134                 0
              0.9      0.4030326259     0.04974718936                 0
             0.95      0.6651204001     0.01773759637                 0
                1                 1                 0                 0
