# Selection   : all
# Cells       : 100
# Volume      : 1.000000e+00
# Time        	min(U)
0             	(0.000000e+00 0.000000e+00 0.000000e+00)
1             	(-7.108094e-02 -1.531902e-01 0.000000e+00)
2             	(-1.228503e-01 -2.456083e-01 0.000000e+00)
3             	(-1.452484e-01 -2.841725e-01 0.000000e+00)
4             	(-1.568402e-01 -2.993866e-01 0.000000e+00)
5             	(-1.664271e-01 -3.151856e-01 0.000000e+00)
6             	(-1.714055e-01 -3.285942e-01 0.000000e+00)
7             	(-1.739708e-01 -3.376672e-01 0.000000e+00)
8             	(-1.752515e-01 -3.438708e-01 0.000000e+00)
9             	(-1.758362e-01 -3.481525e-01 0.000000e+00)
10            	(-1.760336e-01 -3.511337e-01 0.000000e+00)
