#           x           U_x           U_y           U_z
            0             0             0             0
          0.1    -0.0226331     0.0957997             0
          0.2    -0.0588077      0.129976             0
          0.3    -0.0968046      0.128238             0
          0.4     -0.131349       0.10114             0
          0.5     -0.158387     0.0494449             0
          0.6     -0.172383    -0.0264416             0
          0.7     -0.165259      -0.11582             0
          0.8     -0.130164     -0.184408             0
          0.9    -0.0622727     -0.165116             0
            1             0             0             0
